THOR_DATA_VIET_ID,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,AIRCRAFT,TAKEOFFLOCATION,LAT,LONG,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,TIMEOFFTARGET,Year,popup
2914573,USAF,11/14/1965,519154,CACTA6570,F100,BIEN HOA,8.83092504,105.3399083,TROOPS,8,730,500BLU11/23/32,500,F100,F100,50,3,AIR INTERDICTION,2492,4,IN COUNTRY,M,JAJIK0,,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,48PWQ377761,##ABC111222,9999N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,23911624,KINETIC,0,0,754,1965,"USAF, F-100, AIR INTERDICTION, TROOPS, Time on Target - 730 hours; Weapon Type -  500BLU11/23/32"
3171644,USAF,11/14/1965,512937,CACTA6570,F100,BIEN HOA,8.83092504,105.3399083,TROOPS,8,730,500LB GP MK-82,500,F100,F100,50,3,AIR INTERDICTION,2492,4,IN COUNTRY,M,JAJIK0,CLEAR,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,48PWQ377761,##ABC111222,9999N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,23804887,KINETIC,0,0,754,1965,"USAF, F-100, AIR INTERDICTION, TROOPS, Time on Target - 730 hours; Weapon Type -  500LB GP MK-82"
2984319,USAF,11/14/1965,503195,CACTA6570,F100,BIEN HOA,8.83092504,105.3399083,TROOPS,19,730,M-39,50,F100,F100,50,3,AIR INTERDICTION,2492,4,IN COUNTRY,M,JAJIK0,CLEAR,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,48PWQ377761,##ABC111222,9999N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,23981370,KINETIC,0,0,754,1965,"USAF, F-100, AIR INTERDICTION, TROOPS, Time on Target - 730 hours; Weapon Type -  M-39"
500955,USAF,11/14/1965,499547,CACTA6570,F100,BIEN HOA,8.83092504,105.3399083,TROOPS,0,730,NA,0,F100,F100,50,3,AIR INTERDICTION,2492,4,IN COUNTRY,M,JAJIK0,CLEAR,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,48PWQ377761,##ABC111222,9999N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,26400139,KINETIC,0,0,754,1965,"USAF, F-100, AIR INTERDICTION, TROOPS, Time on Target - 730 hours; Weapon Type -  NA"
3162221,USAF,11/15/1965,26217,CACTA6570,F100,TAN SON NHUT,8.93415654,105.183526,TROOPS,6,718,500LB GP M-64,561,F100,F100,40,1,STRIKE,2866,3,IN COUNTRY,M,JAJJP0,UNDERCAST,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,48PWQ205875,##ABC111222,0909N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,23795464,KINETIC,0,0,727,1965,"USAF, F-100, STRIKE, TROOPS, Time on Target - 718 hours; Weapon Type -  500LB GP M-64"
2925317,USAF,11/15/1965,60620,CACTA6570,F100,TAN SON NHUT,8.93415654,105.183526,TROOPS,6,718,750LB BLU-1/27,694,F100,F100,40,1,STRIKE,2866,3,IN COUNTRY,M,JAJJP0,NOT OBS,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,48PWQ205875,##ABC111222,0909N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,23922368,KINETIC,0,0,727,1965,"USAF, F-100, STRIKE, TROOPS, Time on Target - 718 hours; Weapon Type -  750LB BLU-1/27"
2977805,USAF,11/15/1965,16225,CACTA6570,F100,TAN SON NHUT,8.93415654,105.183526,TROOPS,23,718,M-39,50,F100,F100,40,1,STRIKE,2866,3,IN COUNTRY,M,JAJJP0,,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,48PWQ205875,##ABC111222,0909N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,23974856,KINETIC,0,0,727,1965,"USAF, F-100, STRIKE, TROOPS, Time on Target - 718 hours; Weapon Type -  M-39"
451036,USAF,11/15/1965,24559,CACTA6570,F100,TAN SON NHUT,8.93415654,105.183526,TROOPS,0,718,NA,0,F100,F100,40,1,STRIKE,2866,3,IN COUNTRY,M,JAJJP0,SCATTERED,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,48PWQ205875,##ABC111222,0909N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,26350220,KINETIC,0,0,727,1965,"USAF, F-100, STRIKE, TROOPS, Time on Target - 718 hours; Weapon Type -  NA"
3166012,USAF,11/15/1965,513497,CACTA6570,F100,BIEN HOA,8.9775023,105.2972804,AREA\DEPOT,12,810,500LB GP M-64,561,F100,F100,50,6,DIRECT AIR SUPPORT,2166,3,IN COUNTRY,D,JAJJF0,BROKEN,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,48PWQ330923,##ABC111222,9999N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,23799255,KINETIC,0,0,822,1965,"USAF, F-100, DIRECT AIR SUPPORT, AREA\DEPOT, Time on Target - 810 hours; Weapon Type -  500LB GP M-64"
2984333,USAF,11/15/1965,503475,CACTA6570,F100,BIEN HOA,8.9775023,105.2972804,AREA\DEPOT,24,810,M-39,50,F100,F100,50,6,DIRECT AIR SUPPORT,2166,3,IN COUNTRY,D,JAJJF0,CLEAR,ABN FWD AIR CNTL (CRICKET),SOUTH VIETNAM,48PWQ330923,##ABC111222,9999N,MISSION: VS - CONTROL_TYPE: ABN FWD AIR CNTL (CRICKET) - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WT,23981384,KINETIC,0,0,822,1965,"USAF, F-100, DIRECT AIR SUPPORT, AREA\DEPOT, Time on Target - 810 hours; Weapon Type -  M-39"
